Date,Season,HomeTeam,AwayTeam,FTH Goals,FTA Goals,FT Result,FT_Result,HomeTeam_Elo,AwayTeam_Elo,Home_Strength,Away_Strength,H2H_Home_Wins,H2H_Away_Wins,H2H_Draws,Home_vs_Away_Wins,Home_vs_Away_Draws,Home_vs_Away_Avg_Goals,H2H_Avg_Home_Goals,H2H_Avg_Away_Goals,Home_Team_Rank,Away_Team_Rank
1993-08-14,1993,Oldham,Ipswich,0,3,A,-1,1485.0,1515.0,0.0,0.0,0,0,0,0,0,0,0.0,3.0,21,19
1993-08-14,1993,West Ham,Wimbledon,0,2,A,-1,1485.0,1515.0,0.0,0.0,0,0,0,0,0,0,1.2307692307692308,1.3846153846153846,13,6
1993-08-14,1993,Man City,Leeds,1,1,D,0,1500.0,1500.0,0.0,0.0,0,0,0,0,0,0,1.4705882352941178,1.3529411764705883,16,5
1993-08-14,1993,Newcastle,Tottenham,0,1,A,-1,1485.0,1515.0,0.0,0.0,0,0,0,0,0,0,1.9322033898305084,1.271186440677966,3,15
1993-08-14,1993,Chelsea,Blackburn,1,2,A,-1,1485.0,1515.0,0.0,0.0,0,0,0,0,0,0,1.4545454545454546,1.1515151515151516,14,2
1993-08-14,1993,Aston Villa,QPR,4,1,H,1,1515.0,1485.0,0.0,0.0,0,0,0,0,0,0,2.1818181818181817,1.0909090909090908,10,8
1993-08-14,1993,Southampton,Everton,0,2,A,-1,1485.0,1515.0,0.0,0.0,0,0,0,0,0,0,1.673913043478261,0.8043478260869565,18,17
1993-08-14,1993,Liverpool,Sheffield Weds,2,0,H,1,1515.0,1485.0,0.0,0.0,0,0,0,0,0,0,1.6923076923076923,1.0,9,7
1993-08-14,1993,Arsenal,Coventry,0,3,A,-1,1485.0,1515.0,0.0,0.0,0,0,0,0,0,0,1.2666666666666666,0.8666666666666667,4,11
1993-08-14,1993,Sheffield United,Swindon,3,1,H,1,1515.0,1485.0,0.0,0.0,0,0,0,0,0,0,3.0,1.0,20,22
1993-08-15,1993,Norwich,Man United,0,2,A,-1,1485.0,1515.0,0.0,0.0,0,0,0,0,0,0,1.4705882352941178,1.0,12,1
1993-08-16,1993,Tottenham,Arsenal,0,1,A,-1,1498.7080052393337,1501.2919947606663,1485.0,-1515.0,0,0,0,0,0,0,1.746031746031746,1.1428571428571428,15,4
1993-08-17,1993,Everton,Man City,1,0,H,1,1529.3528000084657,1485.6471999915343,1485.0,0.0,0,0,0,0,0,0,1.5576923076923077,1.0192307692307692,17,16
1993-08-17,1993,Leeds,West Ham,1,0,H,1,1514.3528000084657,1470.6471999915343,0.0,-1515.0,0,0,0,0,0,0,1.36,1.16,5,13
1993-08-17,1993,Ipswich,Southampton,1,0,H,1,1528.7080052393337,1471.2919947606663,1485.0,-1515.0,0,0,0,0,0,0,1.625,1.625,19,18
1993-08-17,1993,Wimbledon,Chelsea,1,1,D,0,1513.7080052393337,1486.2919947606663,1485.0,-1515.0,0,0,0,0,0,0,1.0769230769230769,1.3076923076923077,6,14
